2025-12-05 14:20:56.159 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry is empty, awaiting new load (hasLoad await).
2025-12-05 14:29:49.987 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Truck Chevrolet { weight: 5914, area: 90.51473441728137 }. Total: 5914 kg / 90.51473441728137 m².
2025-12-05 14:29:49.987 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Vehicle Car Toyota { weight: 2832, area: 10.618058387721574 } unloaded.
2025-12-05 14:29:49.987 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Toyota { weight: 5234, area: 40.20385723668591 }
2025-12-05 14:29:49.987 [Ferry-Loader2] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Fiat { weight: 8053, area: 54.08719307563538 }
2025-12-05 14:31:54.088 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Renault: weight: 2732, area: 13.669509995531541
2025-12-05 14:31:54.093 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Alpina: weight: 4974, area: 57.15549497672971
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Mercedes: weight: 1820, area: 10.92006337241163
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Alpina: weight: 5597, area: 53.125794075775985
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Chevrolet: weight: 1390, area: 10.853031805357015
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Ford: weight: 2101, area: 10.815333964184608
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Alpina: weight: 2810, area: 11.372023847577516
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Alpina: weight: 8837, area: 72.91046773320124
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Alpina: weight: 3344, area: 10.377681477322062
2025-12-05 14:31:54.094 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Volvo: weight: 4907, area: 58.22860358273408
2025-12-05 14:31:54.095 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Lada: weight: 6853, area: 78.16686125310932
2025-12-05 14:31:54.095 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Alpina: weight: 9159, area: 87.02724193898644
2025-12-05 14:31:54.096 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Honda: weight: 2652, area: 13.57557104012308
2025-12-05 14:31:54.096 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car BMW: weight: 1822, area: 10.83703691386717
2025-12-05 14:31:54.096 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Alpina: weight: 4162, area: 61.78346745330789
2025-12-05 14:31:54.096 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Alpina: weight: 1072, area: 14.225975380001449
2025-12-05 14:31:54.096 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car BMW: weight: 3090, area: 14.000075288379762
2025-12-05 14:31:54.096 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Renault: weight: 7830, area: 92.0843335795201
2025-12-05 14:31:54.097 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Fiat: weight: 8411, area: 69.70582974871834
2025-12-05 14:31:54.097 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car BMW: weight: 2470, area: 12.325151347858128
2025-12-05 14:31:54.099 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry empty. Awaiting load.
2025-12-05 14:31:54.100 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Car Renault { weight: 2732, area: 13.669509995531541 }. Total: 2732 kg / 13.669509995531541 m².
2025-12-05 14:31:54.100 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Truck Alpina { weight: 4974, area: 57.15549497672971 }. Total: 7706 kg / 70.82500497226125 m².
2025-12-05 14:31:54.101 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Car Mercedes { weight: 1820, area: 10.92006337241163 }. Total: 9526 kg / 81.74506834467289 m².
